,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low
2021-08-16,293.19,294.82,290.02,294.6,290.739392859794,22516027,0.0,1.0,280.893795112678,280.893795112678,259.07293200084246,239.92030464775064,290.739392859794,273.379902294947,290.739392859794,235.325959814769,290.739392859794,131.996677769597
2021-08-13,289.48,292.9,289.3,292.85,289.012325862154,17283015,0.0,1.0,280.3361991962972,280.3361991962972,258.4839418587711,239.4595119695689,289.012325862154,273.379902294947,289.012325862154,235.325959814769,289.012325862154,131.996677769597
2021-08-12,286.63,289.97,286.34,289.81,286.012163763397,14570391,0.0,1.0,279.63714826868113,279.63714826868113,257.933096488551,239.05913575082897,286.012163763397,273.379902294947,286.012163763397,235.325959814769,286.012163763397,131.996677769597
2021-08-11,287.21,288.66,285.86,286.95,283.18964284154,13955934,0.0,1.0,279.0150751843885,279.0150751843885,257.3965971629123,238.65823090412326,285.873998403586,273.379902294947,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-08-10,288.8,289.25,285.2,286.44,282.686326173657,18616578,0.0,1.0,278.50353438794474,278.50353438794474,256.8327900584856,238.30156675241372,285.873998403586,268.040798033673,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-08-09,289.75,291.55,287.81,288.33,284.551558531108,16117629,0.0,1.0,277.9206081555986,277.9206081555986,256.27765924229146,237.9408546895528,285.873998403586,267.349971234617,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-08-06,288.505,289.5,287.6238,289.46,285.666750363869,16589336,0.0,1.0,277.15379040864656,277.15379040864656,255.7661045571684,237.57037556602089,285.873998403586,267.349971234617,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-08-05,286.88,289.63,286.1,289.52,285.725964089503,13900167,0.0,1.0,276.40473677938456,276.40473677938456,255.24999495761207,237.19358565185237,285.873998403586,265.198539203271,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-08-04,286.22,287.5883,284.65,286.51,282.755408853562,16191301,0.0,1.0,275.60716079161745,275.60716079161745,254.7047390248386,236.8143931521668,285.873998403586,261.547026122548,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-08-03,285.42,287.23,284.0,287.12,283.357415064168,17879048,0.0,1.0,274.9163339925616,274.9163339925616,254.19844414242564,236.47670331674306,285.873998403586,261.547026122548,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-08-02,286.36,286.775,283.74,284.82,281.087555581556,16267357,0.0,1.0,274.1106983588055,274.1106983588055,253.69971705667416,236.13600345026626,285.873998403586,261.547026122548,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-07-30,285.17,286.66,283.91,284.91,281.176376170006,20944846,0.0,1.0,273.2754558622327,273.2754558622327,253.17731261299872,235.8125315329853,285.873998403586,261.547026122548,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-07-29,286.235,288.618,286.08,286.5,282.74553989929,17782235,0.0,1.0,272.48561055531223,272.48561055531223,252.66741089671694,235.49841326573352,285.873998403586,259.188346051485,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-07-28,288.99,290.15,283.8303,286.22,282.469209179668,33566853,0.0,1.0,271.5276640606214,271.5276640606214,252.07889984928389,235.16929682016615,285.873998403586,256.030280684373,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-07-27,289.43,289.575,282.95,286.54,282.785015716379,33604073,0.0,1.0,270.611167173874,270.611167173874,251.53460492456253,234.81417730864203,285.873998403586,256.030280684373,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-07-26,289.0,289.69,286.642,289.05,285.262123238708,23176073,0.0,1.0,269.7344750693578,269.7344750693578,250.9392005778089,234.43185764041425,285.873998403586,254.007145058566,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-07-23,287.37,289.99,286.5,289.67,285.873998403586,22768071,0.0,1.0,268.7094196856159,268.7094196856159,250.32719756364142,234.03347827721052,285.873998403586,254.007145058566,285.873998403586,235.325959814769,285.873998403586,131.996677769597
2021-07-22,283.84,286.42,283.42,286.14,282.39025754549,23384059,0.0,1.0,267.6425857287882,267.6425857287882,249.77120578972605,233.61283594235854,282.39025754549,254.007145058566,282.39025754549,235.325959814769,282.39025754549,131.996677769597
2021-07-21,278.905,281.52,277.29,281.4,277.712373220455,24364320,0.0,1.0,266.57180419025167,266.57180419025167,249.2802794870122,233.23151028968806,278.807827144672,254.007145058566,278.807827144672,235.325959814769,278.807827144672,131.996677769597
2021-07-20,278.03,280.97,276.26,279.32,275.659630731831,26259741,0.0,1.0,265.62339768469064,265.62339768469064,248.791233015969,232.85304776616772,278.807827144672,253.868979698755,278.807827144672,235.325959814769,278.807827144672,131.996677769597
2021-07-19,278.9335,280.37,274.45,277.01,273.379902294947,32935634,0.0,1.0,264.78420760640904,264.78420760640904,248.2893350993613,232.51556491065577,278.807827144672,250.266811389393,278.807827144672,235.325959814769,278.807827144672,131.996677769597
2021-07-16,282.07,284.1,279.46,280.75,277.07089119276,26186848,0.0,1.0,263.9216610030164,263.9216610030164,247.86497975317144,232.17904609041372,278.807827144672,249.260178053626,278.807827144672,235.325959814769,278.807827144672,131.996677769597
2021-07-15,282.0,282.51,279.83,281.03,277.347221912382,22604227,0.0,1.0,262.7689671440204,262.7689671440204,247.39111128668276,231.80903277487153,278.807827144672,249.260178053626,278.807827144672,235.325959814769,278.807827144672,131.996677769597
2021-07-14,282.345,283.66,280.55,282.51,278.807827144672,23113662,0.0,1.0,261.6593677186797,261.6593677186797,246.92668889333973,231.44831735647003,278.807827144672,247.503504193169,278.807827144672,235.325959814769,278.807827144672,131.996677769597
2021-07-13,277.52,282.8477,277.39,280.98,277.297877141021,26120128,0.0,1.0,260.50437110368676,260.50437110368676,246.5112673807451,231.0723627320003,277.297877141021,242.490075422878,277.297877141021,235.325959814769,277.297877141021,131.996677769597
2021-07-12,279.157,279.77,276.58,277.32,273.685839877386,18931695,0.0,1.0,259.47471020795115,259.47471020795115,246.1387118621902,230.68127605942013,276.261636942437,242.490075422878,276.261636942437,235.325959814769,276.261636942437,131.996677769597
2021-07-09,275.72,278.05,275.32,277.94,274.297715042264,23916665,0.0,1.0,258.5532788440676,258.5532788440676,245.80631368880412,230.29551249429534,276.261636942437,242.490075422878,276.261636942437,232.145613161205,276.261636942437,131.996677769597
2021-07-08,276.9,278.73,274.87,277.42,273.784529420108,24618591,0.0,1.0,257.68316604239965,257.68316604239965,245.45738359234036,229.9401488797434,276.261636942437,242.490075422878,276.261636942437,228.285873569264,276.261636942437,131.996677769597
2021-07-07,279.4,280.6945,277.15,279.93,276.261636942437,23260031,0.0,1.0,256.83772562641224,256.83772562641224,245.12625798525212,229.5634446760521,276.261636942437,242.490075422878,276.261636942437,228.285873569264,276.261636942437,131.996677769597
2021-07-06,278.03,279.3698,274.3,277.66,274.021384322642,31565560,0.0,1.0,255.87879223629426,255.87879223629426,244.76544942962516,229.16382235030494,274.021384322642,242.490075422878,274.021384322642,228.285873569264,274.021384322642,131.996677769597
2021-07-02,272.82,278.0,272.5,277.65,274.01151536837,26474408,0.0,1.0,254.8099844886121,254.8099844886121,244.4106377433224,228.78774645640064,274.01151536837,242.490075422878,274.01151536837,228.285873569264,274.01151536837,131.996677769597
2021-07-01,269.61,271.84,269.6,271.6,268.040798033673,16725323,0.0,1.0,253.7846001397278,253.7846001397278,244.0652573058618,228.42220350294713,268.040798033673,242.490075422878,268.040798033673,228.285873569264,268.040798033673,131.996677769597
2021-06-30,270.69,271.3598,269.6043,270.9,267.349971234617,21656457,0.0,1.0,252.84770741415105,252.84770741415105,243.76681317112795,228.1047869454586,267.843418948228,241.957151892178,267.843418948228,228.285873569264,267.843418948228,131.996677769597
2021-06-29,268.865,271.65,267.98,271.4,267.843418948228,19937811,0.0,1.0,251.91414969960437,251.91414969960437,243.4726248927943,227.77431530820866,267.843418948228,241.957151892178,267.843418948228,228.285873569264,267.843418948228,131.996677769597
2021-06-28,266.185,268.9,265.91,268.72,265.198539203271,19590024,0.0,1.0,251.033067649222,251.033067649222,243.1716356254647,227.4346159828404,265.198539203271,239.934016266371,265.198539203271,226.808932398878,265.198539203271,131.996677769597
2021-06-25,266.23,267.25,264.76,265.02,261.547026122548,25611113,0.0,1.0,250.33762637425033,250.33762637425033,242.9068206647492,227.11470555068775,263.195141486009,239.343239798217,263.195141486009,226.808932398878,263.195141486009,131.996677769597
2021-06-24,266.16,267.85,265.47,266.69,263.195141486009,21446867,0.0,1.0,249.59585911769443,249.59585911769443,242.64423595909906,226.84205403273393,263.195141486009,239.343239798217,263.195141486009,226.808932398878,263.195141486009,131.996677769597
2021-06-23,265.99,266.83,264.43,265.275,261.798684456489,19518681,0.0,1.0,248.66688639531975,248.66688639531975,242.36654542434263,226.5188846338914,262.030604881887,239.343239798217,262.030604881887,226.808932398878,262.030604881887,131.996677769597
2021-06-22,262.72,265.79,262.4,265.51,262.030604881887,24694090,0.0,1.0,248.02175745530437,248.02175745530437,242.02727484828947,226.2594754986655,262.030604881887,239.294008425871,262.030604881887,226.808932398878,262.030604881887,131.996677769597
2021-06-21,259.82,263.52,257.92,262.63,259.188346051485,26696119,0.0,1.0,247.40007770359497,247.40007770359497,241.754156582,226.01384833459394,259.188346051485,235.325959814769,259.188346051485,226.808932398878,259.188346051485,131.996677769597
2021-06-18,259.63,262.3,258.75,259.43,256.030280684373,37202217,0.0,1.0,247.0464343435575,247.0464343435575,241.45022371182992,225.85273134224383,257.48101696239,235.325959814769,257.942852270606,226.808932398878,257.942852270606,131.996677769597
2021-06-17,256.065,261.75,256.01,260.9,257.48101696239,27565537,0.0,1.0,246.70845873142042,246.70845873142042,241.1722719597514,225.68594759772202,257.48101696239,235.325959814769,257.942852270606,226.808932398878,257.942852270606,131.996677769597
2021-06-16,259.4,260.58,254.42,257.38,254.007145058566,27036535,0.0,1.0,246.2151290607837,246.2151290607837,240.8523063543261,225.50338612672502,256.484252580895,235.325959814769,257.942852270606,226.808932398878,257.942852270606,131.996677769597
2021-06-15,259.775,259.99,257.68,258.36,254.974302577245,18038931,0.0,1.0,245.8809187279391,245.8809187279391,240.53191045500026,225.35475221776878,256.484252580895,235.325959814769,257.942852270606,223.894435155984,257.942852270606,131.996677769597
2021-06-14,257.9,259.95,256.8,259.89,256.484252580895,19150507,0.0,1.0,245.64805093477122,245.64805093477122,240.1922157087893,225.18986813900747,256.484252580895,235.325959814769,257.942852270606,223.894435155984,257.942852270606,131.996677769597
2021-06-11,257.985,258.4868,256.61,257.89,254.51046172645,18999731,0.0,1.0,245.37535416758217,245.37535416758217,239.8312325021644,224.9908334109107,254.51046172645,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-06-10,254.29,257.46,253.67,257.24,253.868979698755,24563619,0.0,1.0,245.17928133079076,245.17928133079076,239.41237960569953,224.77874089513324,253.868979698755,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-06-09,253.81,255.53,253.21,253.59,250.266811389393,17937634,0.0,1.0,245.07187410379566,245.07187410379566,238.96270952978034,224.55623691286397,250.483928383382,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-06-08,255.16,256.01,252.51,252.57,249.260178053626,22454998,0.0,1.0,245.32774213316944,245.32774213316944,238.55269592320826,224.34846152489615,250.483928383382,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-06-07,249.98,254.09,249.81,253.81,250.483928383382,23079167,0.0,1.0,245.60337982281186,245.60337982281186,238.18536348880852,224.1533615509248,250.646762888902,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-06-04,247.76,251.65,247.51,250.79,247.503504193169,25281094,0.0,1.0,245.82509746883673,245.82509746883673,237.79194206836164,223.92823630805458,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-06-03,245.22,246.34,243.0,245.71,242.490075422878,25307711,0.0,1.0,246.01553534657685,246.01553534657685,237.45347368119204,223.72426853474295,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-06-02,248.125,249.27,245.84,247.3,244.059239152162,19406705,0.0,1.0,246.4850068364603,246.4850068364603,237.18606416204926,223.5394546460522,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-06-01,251.23,251.29,246.96,247.4,244.157928694884,23213310,0.0,1.0,246.82602834613888,246.82602834613888,236.88989742259452,223.34005089099762,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-05-28,250.995,252.08,249.56,249.68,246.408050268952,18274942,0.0,1.0,247.17951424354416,247.17951424354416,236.53340835806168,223.1391762900095,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-05-27,251.17,251.48,249.25,249.31,246.04289896088,24426244,0.0,1.0,247.52363791827545,247.52363791827545,236.20992224625297,222.92944570678983,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-05-26,251.43,252.94,250.75,251.49,248.194330992225,17771600,0.0,1.0,247.83923536880292,247.83923536880292,235.88802466073247,222.6931474618219,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-05-25,251.769,252.75,250.82,251.72,248.421316940486,17704303,0.0,1.0,247.95478864103654,247.95478864103654,235.59107907646282,222.46989170335223,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-05-24,247.785,251.16,247.51,250.78,247.493635238897,21411547,0.0,1.0,248.1579563681974,248.1579563681974,235.28459406020372,222.2661729874926,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-05-21,247.565,248.33,244.74,245.17,241.957151892178,21863058,0.0,1.0,248.30736885830913,248.30736885830913,235.0116505151389,222.08600533569634,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-05-20,243.96,247.95,243.86,246.48,243.24998490184,21800716,0.0,1.0,248.63936153841763,248.63936153841763,234.8020290383123,221.91685546098404,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-05-19,239.31,243.23,238.6,243.12,239.934016266371,25739807,0.56,1.0,248.84292540613734,248.84292540613734,234.55776875133472,221.74295186810832,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-05-18,246.27,246.41,242.9,243.08,239.343239798217,20167975,0.0,1.0,249.04707149679953,249.04707149679953,234.32967306904033,221.60151083948364,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
2021-05-17,246.55,246.59,243.52,245.18,241.410957436757,24970168,0.0,1.0,249.20395547000942,249.20395547000942,234.13617049158984,221.40667668582128,257.942852270606,235.325959814769,257.942852270606,223.244581041014,257.942852270606,131.996677769597
